DriverID,DriverName,HubID,ExperienceYears,DriverRating
1,Elvin Nağıyev,1,8,4.73
2,Anar Süleymanov,1,7,4.64
3,Nicat Cəfərov,1,1,3.87
4,Emin Cəfərov,1,7,4.78
5,Anar Hüseynov,1,4,4.69
6,Elvin Hüseynov,1,5,4.5
7,Kənan Hüseynov,1,1,4.07
8,Cavid Cəfərov,1,3,4.67
9,Nicat Süleymanov,1,2,3.92
10,Rəşad Məmmədov,1,4,4.3
11,Vüsal İsmayılov,1,7,4.71
12,Vüsal Cəfərov,1,3,5.0
13,Xəyal Rəhimov,1,4,4.72
14,Fərid Quliyev,1,6,4.52
15,Elnur Süleymanov,1,7,4.29
16,Elvin Məmmədov,1,1,4.64
17,Ceyhun Abbasov,1,3,4.4
18,Anar Məmmədov,2,3,4.32
19,Samir Nağıyev,2,7,4.23
20,Nicat Quliyev,2,1,4.2
21,Aydın Süleymanov,2,4,4.69
22,Kamran Məmmədov,2,5,4.03
23,Aydın Nağıyev,2,1,4.25
24,Elvin Məmmədov,2,3,4.37
25,Murad İsmayılov,2,4,5.0
26,Vüsal Cəfərov,2,3,3.72
27,Aydın Rəhimov,2,8,4.52
28,Elnur Məmmədov,2,1,4.39
29,Tural Hüseynov,2,4,4.02
30,Kamran Hüseynov,2,4,4.16
31,Rəşad Quliyev,2,1,4.08
32,Rövşən Nağıyev,2,1,4.94
33,Elnur Abbasov,2,1,4.47
34,Samir Hüseynov,2,7,3.89
35,Emin Süleymanov,2,8,4.88
36,Elvin İsmayılov,3,5,5.0
37,Nicat Abbasov,3,3,4.69
38,Ceyhun Nağıyev,3,6,4.57
39,Elvin Nağıyev,3,4,4.48
40,Kamran Abbasov,3,3,4.7
41,Rövşən Əliyev,3,2,4.77
42,Nicat Quliyev,3,1,4.86
43,Vüsal Məmmədov,3,6,4.81
44,Orxan Cəfərov,3,3,4.11
45,Aydın Məmmədov,3,8,4.31
46,Cavid Rəhimov,3,6,4.14
47,Orxan Əliyev,4,5,5.0
48,Elvin İsmayılov,4,4,4.43
49,Emin Hüseynov,4,4,4.41
50,Aydın İsmayılov,4,6,4.35
51,Kamran Abbasov,4,5,4.36
52,Kamran Məmmədov,4,4,4.66
53,Elvin Hüseynov,4,8,3.93
54,Kamran Nağıyev,4,6,3.83
55,Rövşən Rəhimov,4,7,4.42
56,Murad Süleymanov,4,1,4.0
57,Orxan Məmmədov,4,1,4.06
58,Samir Cəfərov,4,2,4.88
59,Rövşən Abbasov,5,8,4.41
60,Vüsal Quliyev,5,1,4.71
61,Orxan Hüseynov,5,7,4.42
62,Xəyal Abbasov,5,2,4.26
63,Aydın Quliyev,5,2,4.23
64,Anar Məmmədov,5,8,4.78
65,Fərid İsmayılov,5,7,5.0
66,Orxan Quliyev,5,8,5.0
67,Rauf Əliyev,5,4,3.94
68,Anar Süleymanov,5,5,3.7
69,Nicat İsmayılov,5,1,4.28
70,Murad Rəhimov,5,8,4.29
71,Orxan İsmayılov,6,1,5.0
72,Kamran Süleymanov,6,8,4.76
73,Xəyal İsmayılov,6,6,4.56
74,Fərid Süleymanov,6,2,4.67
75,Emin İsmayılov,6,7,4.23
76,Anar Cəfərov,6,2,3.67
77,Samir Rəhimov,6,5,4.29
78,Samir Süleymanov,6,3,4.58
79,Elvin Nağıyev,6,5,4.74
80,Emin Cəfərov,6,2,4.94
81,Aydın Quliyev,6,8,4.66
82,Elvin Məmmədov,6,5,5.0
83,Xəyal İsmayılov,6,4,4.55
84,Samir Əliyev,6,5,4.36
85,Xəyal Əliyev,6,3,4.83
86,Samir Süleymanov,6,6,3.95
87,Murad Hüseynov,6,1,5.0
88,Rövşən Nağıyev,6,4,4.39
